요양기관명,우편번호,주소,전화번호
평택사랑외과의원,17909,경기도 평택시 중앙로 80-1 (합정동),031-653-1195
푸른내과의원,16351,경기도 수원시 장안구 만석로159번길 56 (파장동),031-241-1296
채내과의원,16703,경기도 수원시 영통구 봉영로 1569 308호 (영통동 NEW WORLD PLAZA),031-206-4220
부곡내과의원,16090,경기도 의왕시 부곡중앙남5길 43 2층 202호 (삼동 부영빌딩),031-461-0300
오준내과의원,21119,인천광역시 계양구 효서로 300 2층 (작전동 동서빌딩),032-545-4567
삼성의원,22832,인천광역시 서구 건지로 264 205호 (가좌동),
지형석내과의원,11777,경기도 의정부시 새말로 1 3층 (신곡동 한남프라자),031-853-7750
마음속내과의원,15066,경기도 시흥시 정왕대로 230 제일프라자 202-1 203 204 305호 (정왕동),031-506-7000
참의원,11147,경기도 포천시 구절초로 17 3층 (신읍동 대원빌딩),031-535-5310
동산의원,13225,경기도 성남시 중원구 희망로 312 3층 (상대원동 금풍빌딩),031-731-2900
범세이비인후과의원,17027,경기도 용인시 처인구 포곡읍 포곡로 109,031-322-1219
연아메디의원,21112,인천광역시 계양구 아나지로 191 1층 (효성동 연아빌딩),032-555-1138
우리가족의원,21645,인천광역시 남동구 논고개로 337 (도림동),
자애내과의원,21359,인천광역시 부평구 부평대로 90 (부평동),032-529-1002
새서울의원,17983,경기도 평택시 팽성읍 안정쇼핑로 36,031-691-3537
연세사랑의원,21033,인천광역시 계양구 임학동로 47 202호 (임학동),032-545-5192
열린성모내과의원,22141,인천광역시 미추홀구 경인로 429 (주안동),032-441-2421
행신연세내과의원,10526,경기도 고양시 덕양구 충경로 52 302호 (행신동 남정씨티프라자),031-970-7999
인하내과의원,21534,인천광역시 남동구 구월로 280 3층 (구월동 연세메디칼빌딩),032-466-0101
고려가정의학과의원,15839,경기도 군포시 군포로 567 2층 (당동 대창빌딩),031-459-8575
연세정형외과의원,21395,인천광역시 부평구 경원대로 1409 (부평동),032-524-7111
에이엔에이내과의원,13590,경기도 성남시 분당구 황새울로335번길 5 301호 (서현동 앤타운빌딩),
공내과의원,25551,강원특별자치도 강릉시 옥가로 53-1 (교동),033-648-4230
성심외과의원,25555,강원특별자치도 강릉시 율곡로 2792 (성남동),033-645-4082
이재순내과의원,26427,강원특별자치도 원주시 원일로115번길 1,033-748-5200
오킴스의원,26441,강원특별자치도 원주시 남원로 589-5,033-761-0072
고려가정의원,26481,강원특별자치도 원주시 예술관길 25,033-763-3552
윤내과의원,25539,강원특별자치도 강릉시 경강로 2082 2층 (임당동),033-648-9557
연세남부내과의원,26441,강원특별자치도 원주시 남원로 667 2층 (명륜동),033-763-2398
이종원내과의원,25545,강원특별자치도 강릉시 성덕포남로 189 (포남동),033-647-7976
홍내과의원,25540,강원특별자치도 강릉시 금성로 18 (금학동),033-643-5007
우리가정의원,26471,강원특별자치도 원주시 나비허리길 169 2층 (관설동),033-766-1177
김남동내과의원,25551,강원특별자치도 강릉시 율곡로 2844 (옥천동),033-646-8275
김대균의원,26488,강원특별자치도 원주시 단구로 404 상가 205호,033-735-9201
이성우내과의원,26430,강원특별자치도 원주시 평원로 54,033-746-2888
원의원,26342,강원특별자치도 원주시 우산로 42,033-744-8275
이광훈내과의원,26431,강원특별자치도 원주시 원일로 89 대림빌딩 5층,033-746-5300
서울내과의원,26436,강원특별자치도 원주시 장미공원길 43-2 벧엘빌딩 2층,033-732-1344
손경수내과의원,26441,강원특별자치도 원주시 남원로 665 중앙빌딩 3층,033-763-8252
한솔내과의원,25568,강원특별자치도 강릉시 하평길 46 (포남동),033-653-7588
연세민내과의원,26428,강원특별자치도 원주시 중앙로 86,033-733-7582
김동우외과의원,26367,강원특별자치도 원주시 문막읍 왕건로 81 (동화빌딩),033-734-0061
신림연세의원,26506,강원특별자치도 원주시 신림면 치악로 9,033-763-3600
이명호내과의원,25515,강원특별자치도 강릉시 솔올로5번길 40 2층 (교동),033-645-7747
우리들내과의원,25533,강원특별자치도 강릉시 경강로 2079 2 3층 (임당동 유암빌딩),033-610-1500
원주연세의원,26403,강원특별자치도 원주시 흥업면 남원로 57,033-766-7881
베스트이내과의원,26484,강원특별자치도 원주시 서원대로 410,033-763-1300
정내과의원,26490,강원특별자치도 원주시 단구로 353,033-761-0822
연세그린내과의원,26408,강원특별자치도 원주시 원문로 106,033-746-1723
김정권내과의원,26428,강원특별자치도 원주시 중평길 12 동남타워 2층,033-748-9798
강릉속편한내과의원,25532,강원특별자치도 강릉시 경강로 2089 2층 (임당동),033-655-7171
김재권내과의원,25532,강원특별자치도 강릉시 경강로 2109 3층 (임당동 문선빌딩),033-655-0700
임수빈내과의원,26391,강원특별자치도 원주시 시청로 98,033-743-2266
한기철내과의원,25515,강원특별자치도 강릉시 솔올로 25 3층 (교동 현진빌딩),033-641-6714
강원의료복지사회적협동조합밝음의원,26428,강원특별자치도 원주시 중앙로 85 밝음신협 3층,033-744-7571
최경훈내과의원,26427,강원특별자치도 원주시 원일로115번길 12 12 서진빌딩 5층,033-742-7400
중앙메디칼연합의원,26428,강원특별자치도 원주시 평원로 33 원주시 평원로 33 중앙메디컬 센터 2층,033-735-5511
연세굿모닝내과의원,26456,강원특별자치도 원주시 행구로 148 SG마트 3층,033-733-0799
도담내과의원,26406,강원특별자치도 원주시 모란1길 70 203호 도담내과의원,033-744-4901
하나내과의원,26471,강원특별자치도 원주시 치악로 1527 판부농협하나로마트 2층 (관설동),033-763-9080
쾌의원,25589,강원특별자치도 강릉시 율곡로 2745 2층 (노암동),033-921-9219
초당의원,25469,강원특별자치도 강릉시 연당길 76 (초당동),070-7372-8275
속시원한내과의원,26387,강원특별자치도 원주시 로아노크로 74 501호 502호 (무실동),033-743-8275
365열린사랑의원,26392,강원특별자치도 원주시 능라동길 3 미래네크워크 301호 (무실동),033-733-2426
위드내과의원,25512,강원특별자치도 강릉시 솔올로 35 2층 (교동),033-641-9222
원주시민의원,26441,강원특별자치도 원주시 남원로 645 3층 (개운동),033-763-9034
이화의원,25542,강원특별자치도 강릉시 율곡로 2791 2층 (성남동),033-655-8575
스마일가정의학과의원,25616,강원특별자치도 강릉시 성덕로 328-18 주영프라자 4층 401호 (입암동),033-651-6517
백석기내과의원,28709,충청북도 청주시 서원구 청남로 2024 (수곡동 청남빌딩),043-286-1932
전내과의원,28705,충청북도 청주시 서원구 청남로 2094 (수곡동),043-284-1591
도내과의원,28531,충청북도 청주시 상당구 상당로 37 2층 (남문로1가 1-6),043-253-9111
새한정형외과의원,27603,충청북도 음성군 감곡면 장감로125번길 6,043-882-4555
한울내과의원,28420,충청북도 청주시 흥덕구 증안로 58 (복대동),043-233-7759
청주가정의학과의원,28732,충청북도 청주시 상당구 수영로 228 (금천동),043-253-7560
김명수내과의원,28708,충청북도 청주시 서원구 구룡산로 386 (수곡동 김명수내과의원),043-284-5356
이성웅외과의원,28333,충청북도 청주시 청원구 충청대로 121 (율량동),043-212-5406
정진영내과의원,28340,충청북도 청주시 청원구 사뜸로 59 (율량동),043-212-3175
김앤박내과의원,28598,충청북도 청주시 흥덕구 복대로 179 2층4층 (복대동),043-233-0429
한빛의원,28781,충청북도 청주시 상당구 용암로 3 (용암동),043-293-6211
중앙외과의원,27652,충청북도 음성군 삼성면 덕정로 72-1,043-878-1331
명성의원,28729,충청북도 청주시 상당구 꽃산동로 25 201 202호 (금천동 금천우미린상가동),043-291-8275
김영태신경외과의원,28725,충청북도 청주시 상당구 단재로 21-1 (석교동),043-258-0174
서부유림의원,28361,충청북도 청주시 흥덕구 2순환로1050번길 12 (비하동 2층),043-236-5975
스마일가정의학과의원,28666,충청북도 청주시 서원구 모충로25번길 3 2 3층 (개신동),043-268-7533
효성가정의학과의원,27695,충청북도 음성군 음성읍 중앙로 119 1층,043-873-3760
한마음의원,27603,충청북도 음성군 감곡면 장감로125번길 6,043-881-6624
조은내과의원,27668,충청북도 음성군 대소면 오태로 98,043-882-8880
한미내과의원,28413,충청북도 청주시 흥덕구 가경로 9-2 (가경동),043-237-0500
엔젤연합내과의원,28120,충청북도 청주시 청원구 오창읍 중심상업로 31-4 4층 (엔젤오메가),043-214-7582
금왕고내과의원,27634,충청북도 음성군 금왕읍 무극로 276-1 3층,043-883-0990
오페라연합의원,28647,충청북도 청주시 서원구 사직대로 132 2~3층 (사창동),043-274-9700
햇살가정의학과의원,28697,충청북도 청주시 서원구 수곡로 49 2층 (수곡동),043-298-7588
이내과의원,28318,충청북도 청주시 청원구 율량로 96 302호 (주성동 율량센터프라자),043-292-7553
편한내과의원,28711,충청북도 청주시 상당구 청남로 2196 2층 3층 (석교동 중앙메디컬빌딩),043-224-2008
청주엔도내과의원,28536,충청북도 청주시 청원구 상당로 233 2층(주중동),043-213-7576
정희석내과의원,28117,충청북도 청주시 청원구 오창읍 2산단로 132 2층 201~203호,043-212-0076
소화잘되는내과의원,28409,충청북도 청주시 흥덕구 가경로 8 2층 (가경동 태양빌딩),043-716-2885
연세연합의원,27634,충청북도 음성군 금왕읍 무극로 284,043-878-8270
속시원한내과의원,28292,충청북도 청주시 흥덕구 송화로150번길 21 3층 302호 (송절동),043-262-5559
참편안의원,28480,충청북도 청주시 청원구 향군로 118 센트럴타워 3층 (우암동),043-254-7575
더나은내과의원,28760,충청북도 청주시 상당구 중고개로 115 4층 403 404 405호 (용암동),043-283-3100
방서서울가정의학과의원,28787,충청북도 청주시 상당구 1순환로 1202-3 201 202호 (방서동),043-283-8010
속튼튼내과의원,28325,충청북도 청주시 청원구 충청대로 179 5층 402호 (주중동),043-218-3363
속시원내과의원,28808,충청북도 청주시 상당구 중고개로 137 5층 2 3 4호 (용암동),043-292-2920
이수남내과의원,31132,충청남도 천안시 동남구 중앙로 54 (영성동),041-551-8020
박기서내과의원,34814,대전광역시 중구 목중로 12 (중촌동),042-253-2181
김내과의원,32222,충청남도 홍성군 홍성읍 조양로143번길 25,041-632-2016
이철원내과의원,35313,대전광역시 서구 갈마로 242 (내동),042-524-9889
박인수내과의원,34974,대전광역시 중구 계백로 1568 (유천동),042-582-5895
박훈영내과의원,35335,대전광역시 서구 도산로 51 2층 (도마동),042-525-8247
새서울내과영상의학과의원,34944,대전광역시 중구 계룡로 901 (문화동),042-255-5003
세란의원,35404,대전광역시 서구 복수서로 50 201 202호 (복수동 삼익목화B상가),042-585-2509
명내과의원,34543,대전광역시 동구 계족로 478 (용전동),042-635-3036
연세포유의원,34433,대전광역시 대덕구 대전로 1100 (오정동),042-633-8855
유제열가정의학과의원,31141,충청남도 천안시 서북구 성정로 103 (성정동),041-574-4101
동양정형외과의원,34639,대전광역시 동구 계족로 71 (신흥동),042-274-1400
한가족내과의원,34639,대전광역시 동구 계족로 75 (신흥동),042-283-3738
성모의원,35003,대전광역시 중구 산성로 108-19 203호 (문화동 주공3단지상가),042-582-3711
홍성방사선과의원,32230,충청남도 홍성군 홍성읍 내포로 8 5층 (하나크리닉센터),041-633-1178
김용현내과의원,31015,충청남도 천안시 서북구 성환읍 성환12길 45-8,041-581-0363
나상연정형외과의원,34604,대전광역시 동구 동대전로 59-1 (대동),042-628-3599
덕인의원,34629,대전광역시 동구 대전로 782 (원동),042-272-4551
조내과의원,34311,대전광역시 대덕구 신탄진로 804 (신탄진동),042-932-8390
대덕의원,34346,대전광역시 대덕구 신탄진로 230 (와동),042-627-1283
박승억내과의원,35256,대전광역시 서구 탄방로7번길 65 2층 (탄방동),042-472-5822
강태영내과의원,34317,대전광역시 대덕구 대덕대로 1592 (석봉동),042-932-8501
둔산내과의원,35250,대전광역시 서구 둔산로 212 (둔산동),042-487-0770
한마음내과의원,35381,대전광역시 서구 관저로 172 201호 (관저동),042-541-3033
고려내과의원,34593,대전광역시 동구 우암로 172 (성남동),042-626-3937
기린의원,34382,대전광역시 대덕구 계족로663번길 32 203호 (법동 상가),042-633-6556
세광의원,35244,대전광역시 서구 둔산북로 215 307호 (둔산동 가람아파트상가),042-482-6764
복음내과의원,35250,대전광역시 서구 문정로 178 2층 (둔산동),042-483-9216
한마음의원,35261,대전광역시 서구 문정로 30 3층 (탄방동),042-472-5022
신내과의원,31909,충청남도 서산시 대산읍 구진천로 12,041-681-4773
이기수의원,35210,대전광역시 서구 청사로 5 119 120 204호 (월평동 하나로아파트상가),042-486-2536
김경중내과의원,31981,충청남도 서산시 시장6로 31 (동문동),041-667-3003
연세의원,34506,대전광역시 동구 우암로 328 (가양동),042-634-1870
고려의원,34566,대전광역시 동구 태전로 165 (삼성동),042-621-4389
서울가정의학과의원,35321,대전광역시 서구 변동로 49 (변동),042-531-9835
중앙내과의원,34177,대전광역시 유성구 계룡로 50 (봉명동),042-822-6145
김병호내과의원,35240,대전광역시 서구 문예로 69 5층 (둔산동),042-484-9233
삼부의원,34890,대전광역시 중구 태평로 15 2층 (태평동 삼부스포렉스),042-533-7713
김형곤의원,35079,대전광역시 중구 보문산로 44 2층 (산성동),042-581-5278
윤일국내과의원,34676,대전광역시 동구 옥천로 178 2층 (판암동),042-272-1335
서울내과의원,34807,대전광역시 중구 목중로54번길 50 2층 (중촌동),042-256-7585
중앙훼밀리의원,34117,대전광역시 유성구 신성남로 49 (신성동),
건강미내과의원,35235,대전광역시 서구 둔산남로 46 3층 (둔산동),042-482-0944
성내과의원,31992,충청남도 서산시 안견로 191 (동문동 서인크리닉 5층 6층(603호)),041-664-2888
세란의원,34998,대전광역시 중구 문화로 172 (문화동),042-582-6480
나우내과의원,35275,대전광역시 서구 계룡로 356 (갈마동),042-522-9007
둔산한빛내과의원,35241,대전광역시 서구 문예로 43 3층 (둔산동),042-486-7600
덕진의원,35334,대전광역시 서구 조달청길 36 (도마동),042-527-8275
관저성모의원,35358,대전광역시 서구 관저북로 78 202 203호 (관저동),042-545-7575
한사랑가정의학과의원,31184,충청남도 천안시 동남구 일봉로 8 2 3층 (신방동 학산빌딩),041-573-5595
새일의원,34322,대전광역시 대덕구 대덕대로1470번길 37 2층 (목상동),042-933-5050
현대정형외과의원,34587,대전광역시 동구 우암로 229 (가양동),042-621-7585
세인연합의원,35402,대전광역시 서구 계백로 1436 4 5층 (도마동),042-582-0275
전내과의원,32230,충청남도 홍성군 홍성읍 내포로 20,041-631-3333
세브란스내과의원,34418,대전광역시 대덕구 비래동로 20 (비래동),042-631-3330
가양성모의원,34597,대전광역시 동구 동대전로 233 (가양동),042-634-3548
해미성모내과의원,31960,충청남도 서산시 해미면 남문5로 13,041-688-1011
성모외과의원,34230,대전광역시 유성구 진잠로78번길 70 (원내동),042-543-7582
이재석내과의원,31175,충청남도 천안시 서북구 충무로 172 3층 (쌍용동),041-577-3222
온누리수의원,35310,대전광역시 서구 동서대로 1147 5 6층 (가장동),042-538-1000
연세연합의원,35400,대전광역시 서구 계백로 1420 2층 (도마동),042-586-0911
강내과의원,31983,충청남도 서산시 안견로 246 (동문동),041-665-7401
윤재철내과의원,31981,충청남도 서산시 안견로 184-2 (동문동),041-665-9775
로고내과의원,34877,대전광역시 중구 수침로 107-1 1층 (태평동),042-522-9923
성나자로의원,31945,충청남도 서산시 운산면 장벌6로 31,041-664-1976
송강내과의원,34009,대전광역시 유성구 구즉로 72 (송강동),042-935-3138
을지의원,35389,대전광역시 서구 계백로1158번길 114 2층 (가수원동),042-541-0586
제일편안의원,34416,대전광역시 대덕구 우암로 412 (비래동),042-633-0084
사랑의메디칼의원,31146,충청남도 천안시 서북구 성정로 82 2층 (성정동),041-578-2175
관저내과의원,35372,대전광역시 서구 관저중로95번길 57 2층 202호 (관저동),042-542-9760
현대가정의원,34899,대전광역시 중구 계백로 1619 306호 (유천동 벽산프라자),042-534-1246
김영운내과의원,35396,대전광역시 서구 정림동로5번길 23 2층 (정림동),042-586-7778
노은내과의원,34086,대전광역시 유성구 은구비남로 39 (지족동),042-476-8275
행복이가득한내과의원,34849,대전광역시 중구 동서대로 1388 109동 201호 (목동 한사랑 아파트 상가),042-223-8275
제일신경과의원,34909,대전광역시 중구 계백로 1715 201호 (오류동),042-286-7582
김영승내과의원,34688,대전광역시 동구 계족로 10 (효동),042-271-0575
권내과의원,31981,충청남도 서산시 안견로 178 2층 (동문동),041-668-6799
용전내과의원,34552,대전광역시 동구 계족로 416 (용전동),042-624-1724
우리들내과의원,34049,대전광역시 유성구 엑스포로 488 5층 5-131호 (전민동 엑스포코아),042-863-1141
한샘내과의원,34171,대전광역시 유성구 유성대로 772 (장대동),042-822-7598
한사랑가정의학과의원,32000,충청남도 서산시 석림4로 90 (석림동),041-667-7582
예일내과영상의학과의원,34306,대전광역시 대덕구 신탄진로 836 드림빌딩 6층 (신탄진동),042-936-6060
한길내과의원,34532,대전광역시 동구 동서대로1748번길 82 (가양동),042-628-6361
스마트내과의원,34019,대전광역시 유성구 관평2로 56 (관평동),042-934-0934
문현웅내과의원,34319,대전광역시 대덕구 석봉로38번길 67 (석봉동),042-933-7585
건강성모의원,32231,충청남도 홍성군 홍성읍 홍성천길 198,041-632-2224
자연내과의원,34425,대전광역시 대덕구 동서대로 1783 (송촌동),042-627-6700
도화범신경과의원,31123,충청남도 천안시 동남구 만남로 6 (신부동 천안종합버스터미널),041-552-1050
근화내과의원,34590,대전광역시 동구 계족로 362 2층 (성남동),042-637-8900
용운내과의원,34662,대전광역시 동구 용운로 170-1 2층 (용운동),042-286-7585
무지개내과의원,34908,대전광역시 중구 계룡로 858 2층 (오류동),042-536-5575
하나내과의원,35382,대전광역시 서구 관저중로 72 메디컬센터 5층 (관저동),042-242-8275
속편한내과의원,31124,충청남도 천안시 동남구 만남로 64 2 3층 (신부동 C&A타워),041-551-6368
민들레의료복지사회적협동조합민들레의원,34383,대전광역시 대덕구 계족로663번길 26 1 2층 (법동),042-638-9012
김대수내과의원,35285,대전광역시 서구 동서대로 981 2층 (내동),042-528-1175
성모내과의원,34311,대전광역시 대덕구 신탄진로 814 (신탄진동),042-932-7575
정림내과의원,35396,대전광역시 서구 정림로 58 2층 (정림동),042-581-9545
바른정형외과의원,34508,대전광역시 동구 동대전로 270 2층 4층 (가양동),042-633-3114
우리내과의원,35019,대전광역시 중구 과례로39번길 16 2층 (문화동),042-584-7584
상쾌한내과의원,34909,대전광역시 중구 계백로 1711-1 2층 (오류동),042-534-2075
홍내과의원,32231,충청남도 홍성군 홍성읍 홍성천길 204,041-631-3375
윤내과의원,34514,대전광역시 동구 동대전로 200 2층 201호 (자양동 예일크리닉빌딩),042-637-7585
행복한가정의학과의원,31118,충청남도 천안시 동남구 터미널9길 25 303호 (신부동 신비프라자),041-553-6575
태평드림내과의원,34892,대전광역시 중구 동서대로 1218 4층 (태평동),042-537-7533
성모훼밀리의원,35404,대전광역시 서구 복수북로 42 2층 (복수동),042-586-7676
최경호가정의학과의원,34159,대전광역시 유성구 학하중앙로59번길 5-3 (덕명동 호연빌딩),042-822-7589
제일내과의원,34868,대전광역시 중구 선화로 20 2층 (용두동),042-252-7012
우리가정의학과의원,34663,대전광역시 동구 동부로73번길 6 3층 (판암동 성창프라자),042-272-7582
방도석내과의원,34512,대전광역시 동구 충정로 137 2층 (자양동),042-636-8275
해미참의원,31960,충청남도 서산시 해미면 남문4로 11,041-688-7088
연세다온가정의학과의원,31981,충청남도 서산시 시장6로 37 2층 (동문동),041-663-1532
연합의원,32230,충청남도 홍성군 홍성읍 내포로 18 3 4 5층,041-631-8900
우리수내과의원,35262,대전광역시 서구 문정로2번길 95 3층 (탄방동 주안빌딩),042-489-1600
수내과의원,31981,충청남도 서산시 안견로 190 서산공용버스터미널 2층 (동문동),041-667-8600
미소가득한내과의원,35233,대전광역시 서구 대덕대로 226 5층 (둔산동 대전 둔산동 명동프라자),042-472-1090
올리브내과의원,34695,대전광역시 동구 동구청로 95 6층 7층 (가오동),042-286-0075
늘편한가정의원,34400,대전광역시 대덕구 동춘당로126번길 2 302호 (송촌동 아이프라자),042-639-7575
하나내과의원,34379,대전광역시 대덕구 한밭대로 1015 2층 (오정동),042-622-9300
한마음내과의원,32235,충청남도 홍성군 홍성읍 충절로 1051,041-631-1369
상쾌한내과의원,31202,충청남도 천안시 동남구 풍세로 798 3층 (청당동),041-592-7582
명쾌한내과의원,34168,대전광역시 유성구 대학로 11 지상 4층 (봉명동),042-822-1368
현대의원,34219,대전광역시 유성구 대정로28번안길 83 (대정동),042-543-5575
서울성심의원,31226,충청남도 천안시 동남구 목천읍 삼성5길 19 2층,041-553-1565
아가페의원,34010,대전광역시 유성구 구즉로 16 (송강동 한마을A상가 201호),042-934-7577
참좋은연세외과의원,32293,충청남도 홍성군 광천읍 광천로 320-0 320,041-642-2323
배내과의원,34230,대전광역시 유성구 진잠로42번길 111 (원내동 원내빌딩 2층),
서울내과의원,34628,대전광역시 동구 대전로 787 2층 3층 (중동),042-257-1175
하나로내과의원,34411,대전광역시 대덕구 계족산로 1 (중리동),042-637-3435
푸른외과의원,35223,대전광역시 서구 월평중로 24 4층 (월평동),042-485-3161
속편한서산내과의원,31981,충청남도 서산시 시장4길 25-6 (동문동),041-664-4944
플러스연합내과의원,34417,대전광역시 대덕구 비래동로 7 2층 (비래동),042-636-7575
수내과의원,32230,충청남도 홍성군 홍성읍 내포로 12 4층,041-634-2880
천안엔도내과의원,31175,충청남도 천안시 동남구 서부대로 293 6층 (쌍용동 버들빌딩),041-592-7201
테크노내과의원,34018,대전광역시 유성구 테크노4로 105 4층 (관평동),042-671-0900
해든의원,34374,대전광역시 대덕구 동심1길 26 2층 (대화동),042-631-0320
참내과의원,35048,대전광역시 중구 대종로 299 (부사동),042-221-7582
백호동정형외과    김남희내과의원,31980,충청남도 서산시 안견로 179 201호 (동문동),041-429-0075
민가정의학과의원,34704,대전광역시 동구 산내로 1317 (낭월동),042-274-7582
하나의원,35426,대전광역시 서구 벌곡로 655 1층 (흑석동),042-584-0877
한사랑내과의원,31037,충청남도 천안시 서북구 직산읍 삼은3길 4 2층,041-587-5287
서울예사랑내과의원,35363,대전광역시 서구 관저북로13번길 23-12 한빛빌딩 5층 (관저동),042-719-7588
반석내과영상의학과의원,34068,대전광역시 유성구 반석로 16 6 9층 (반석동 반석크리닉빌딩),042-826-1800
서산조은내과의원,31980,충청남도 서산시 율지8로 7-6 (동문동 성일빌딩),041-429-0011
성심의원,31055,충청남도 천안시 서북구 입장면 입장로 130 1 2층,041-583-2468
메디안내과의원,34086,대전광역시 유성구 노은로 170 스타시티 2 3층 207 208 301 306호 (지족동),042-867-8275
김종현내과의원,34628,대전광역시 동구 대전로779번길 5 2층 (원동),042-223-7580
세이연합내과의원,34910,대전광역시 중구 계백로 1683 2층 (오류동),042-537-0075
서산열린내과의원,31998,충청남도 서산시 예천1로 24 202층 (예천동 JS빌딩),041-429-3100
삼성우리내과의원,34117,대전광역시 유성구 신성남로 45 3층 301호 (신성동),042-863-7005
삼성라온내과의원,31166,충청남도 천안시 서북구 월봉로 134 4층 (쌍용동 리치프라자),041-568-7575
허준앤심내과의원,31173,충청남도 천안시 서북구 불당대로 260 2층 (쌍용동),041-574-2266
푸른신방의원,31206,충청남도 천안시 동남구 풍세로 656 2층 (신방동),041-579-7579
건강한소화내과의원,34086,대전광역시 유성구 은구비남로33번길 29 홍송빌딩 2층 (지족동),042-348-7700
배상우젊은신경과의원,32231,충청남도 홍성군 홍성읍 조양로 166 선일빌딩 2층,041-633-7878
바른가정의학과의원,31129,충청남도 천안시 동남구 대흥로 118 2 3층 (사직동),041-569-2228
소중한배내과의원,34675,대전광역시 동구 옥천로 183 판암퍼스트타워 5층 509~514호 (판암동),042-271-0075
닥터정내과의원,31166,충청남도 천안시 서북구 월봉로 122 하나메디컬타운 5층 501~502 504호 (쌍용동),041-571-7577
내포연합의원,32256,충청남도 홍성군 홍북읍 청사로 146 센텀시티 2층,041-634-1197
밝은햇살내과의원,35264,대전광역시 서구 계룡로 599 MG한밭빌딩 2층 (탄방동),042-531-8275
서울더블유내과의원,31233,충청남도 천안시 동남구 목천읍 충절로 935-5 2 3층 202 203 301 302 303 304호,041-415-0053
서울굿내과의원,35378,대전광역시 서구 관저로 157 하이존 2층 206호 (관저동),042-477-2000
데일리연합의원,35370,대전광역시 서구 관저로 27 4층 401 402호 (관저동),042-716-0365
메디허브의원,34552,대전광역시 동구 동서대로 1641 아남빌딩 3층 4층 (용전동),042-710-8119
연세나음샘내과.마취통증의학과의원,34552,대전광역시 동구 동서대로 1677 5층 502호 (용전동),042-716-2090
최내과의원,34640,대전광역시 동구 계족로 171 3층 (대동),042-284-3455
새로운신경과의원,34648,대전광역시 동구 동대전로 80 4~5층 (대동),042-710-7722
속속봄내과의원,35241,대전광역시 서구 문예로 39 남전빌딩 2층 (둔산동),042-721-0119
홍성의료복지사회적협동조합  우리동네의원,32284,충청남도 홍성군 홍동면 홍장북로 8-4,041-634-3223
시티내과외과의원,35234,대전광역시 서구 둔산로 76 4 7층 (둔산동),042-485-4646
김종범소아청소년과의원,54390,전북특별자치도 김제시 동서로 149 (요촌동),063-542-0667
삼성가정의학과의원,55132,전북특별자치도 전주시 완산구 난전들로 266,063-285-6001
은혜의원,54139,전북특별자치도 군산시 공단대로 394 으뜸정형외과 2층 (나운동),063-465-9388
오강렬내과의원,54593,전북특별자치도 익산시 익산대로 198 (창인동1가),063-858-9119
중앙의원,54520,전북특별자치도 익산시 여산면 가람로 389,063-836-9673
최은영내과의원,55093,전북특별자치도 전주시 완산구 용머리로 148,063-223-3070
중앙가정의학과의원,54083,전북특별자치도 군산시 월명로 328 (서흥남동),063-442-3300
다나소아청소년과의원,54081,전북특별자치도 군산시 문화로 83 1 3 4 5층 (수송동),063-460-0100
이남심내과정형외과의원,54926,전북특별자치도 전주시 덕진구 안덕원로 157 (인후동2가),063-274-8858
한독의원,54511,전북특별자치도 익산시 함열읍 함열3길 21,063-862-2580
곽준석의원,54533,전북특별자치도 익산시 황등면 황등로 85,063-858-6058
차재헌의원,54572,전북특별자치도 익산시 금마면 금마길 40-1 40,063-836-4100
한양의원,54609,전북특별자치도 익산시 서동로 134 (동산동),063-842-5416
한사랑마취통증의학과의원,54623,전북특별자치도 익산시 인북로 258 (남중동),063-858-5670
진성호내과의원,54126,전북특별자치도 군산시 대학로 248 (나운동),
강원택내과의원,55119,전북특별자치도 전주시 완산구 장승배기로 274,063-284-9688
손영돈내과의원,54133,전북특별자치도 군산시 대학로 243 (나운동),
효정내과의원,54850,전북특별자치도 전주시 덕진구 쪽구름로 63 (여의동),063-211-1175
백제의원,54572,전북특별자치도 익산시 금마면 미륵사지로1길 35,063-836-9210
속편한내과영상의학과의원,54598,전북특별자치도 익산시 서동로 129 2층 3층 (마동),063-858-6576
임내과의원,54553,전북특별자치도 익산시 하나로10길 3 (어양동),063-833-1140
김진홍내과의원,54920,전북특별자치도 전주시 덕진구 안덕원로 261 (인후동1가),063-242-6622
장명규내과의원,54951,전북특별자치도 전주시 완산구 당산로 42,063-275-0085
효자내과의원,55080,전북특별자치도 전주시 완산구 효자천변2길 7 (효자동1가),063-227-1081
누가외과연합의원,55119,전북특별자치도 전주시 완산구 장승배기로 268 (평화동1가),063-286-2717
서울정형외과의원,54382,전북특별자치도 김제시 중앙로 129 (요촌동),063-544-0314
남부가정의학과의원,54676,전북특별자치도 익산시 평동로 726 (동산동),063-843-3693
동부제일의원,54624,전북특별자치도 익산시 고봉로 161 (영등동),063-858-5353
현정례내과의원,54601,전북특별자치도 익산시 인북로 93 (갈산동),063-851-6373
김종구내과의원,55043,전북특별자치도 전주시 완산구 팔달로 101-4,063-288-5874
이재현내과의원,54831,전북특별자치도 전주시 덕진구 시천로 49 (송천동2가),063-277-4954
홍내과의원,54643,전북특별자치도 익산시 고봉로30길 22 (영등동),063-833-2626
이태훈마취통증의학과의원,54637,전북특별자치도 익산시 무왕로16길 4 (영등동),063-834-7000
유내과의원,54661,전북특별자치도 익산시 고현로 98-7 (모현동1가),063-856-3661
